CTSZ	CHIT1
CTSZ	CAMP
CTSZ	LYZ
RSPO4	LGR6
PROKR2	ADRA1D
OXT	ADRA1D
CHMP4B	BFSP2
SLC32A1	SLC18A1
SLC32A1	GAD1
SLC32A1	SNAP25
IDH3G	IL4I1
PSMD10	PSMA8
PSMD10	UBD
TBL1X	APOA1
PGRMC1	OLR1
PGRMC1	SNAP25
PGRMC1	CLEC5A
GUCY2F	GUCY2D
ATP1B4	ATP1A2
RP2	CYS1
TIMP1	IL1A
TIMP1	AMBN
TIMP1	SPP1
TIMP1	LEFTY2
TIMP1	MMP12
TIMP1	FGG
TIMP1	DMP1
TIMP1	APOA1
GLA	LYZ
ATP12A	ATP1A2
MLNR	ADRA1D
OLFM4	LYZ
OLFM4	CHIT1
OLFM4	CAMP
MMP2	SPP1
CCL22	CXCL10
CCL22	CXCL9
CCL22	CCL20
CCL17	CXCL10
CCL17	CCL1
CCL17	CXCL9
CCL17	CCL20
PSMD7	PSMA8
PSMD7	UBD
PLA2G15	PLA2G2D
MEFV	AIM2
SLC6A2	SLC18A1
SLC6A2	DRD2
CSK	BLK
CSK	FGG
CSK	CD79A
CTSH	CHIT1
CTSH	CAMP
CTSH	LYZ
SCG3	AMBN
SCG3	SPP1
SCG3	FGG
SCG3	DMP1
SCG3	APOA1
PAG1	CD79A
RIPK2	IRF4
DECR1	OLR1
EMC2	SLC18A1
GML	LY6H
DCTN6	HLA-DOB
GSR	GSTA1
PPP2CB	PSMA8
NEFM	GFAP
EXOSC5	AICDA
CYP4F3	ALOX15B
LHB	MC4R
LHB	GPR15
LHB	INSL3
RELB	PSMA8
LIN7B	SNAP25
FCGRT	PIGR
SLC17A7	SLC18A1
SLC17A7	GAD1
SLC17A7	SNAP25
SLC17A7	GFAP
AMH	NR0B1
AMH	INSL3
RETN	LYZ
RETN	CHIT1
RETN	CAMP
SGTA	DNAJC5B
CYP4F2	ALOX15B
TGFB1	IFNG
TGFB1	LEFTY2
TGFB1	FGG
CD79A	IGLL5
CD79A	IRF4
CD79A	CR2
CD79A	POU2AF1
CD79A	BLK
LIM2	BFSP2
NKG7	GZMB
CEACAM5	LY6H
CEACAM5	CNTN5
CRX	GUCY2D
CDC37	BTC
RABAC1	PCLO
RAB3D	PIGR
RAB3D	RAB3B
RPL18A	NR0B1
SLC5A5	SLC26A4
PIK3R2	IGLL5
PIK3R2	ADRA1D
RAB3A	PCLO
RAB3A	SNAP25
RAB3A	RAB3B
RAB3A	GAD1
PON1	APOA1
HGF	SPP1
HGF	LAMC3
HGF	LEFTY2
HGF	SH3GL3
HGF	FGG
LAMB1	AMBN
LAMB1	SPP1
LAMB1	LAMC3
LAMB1	PAK7
LAMB1	FGG
LAMB1	DMP1
LAMB1	APOA1
WNT16	SFRP1
BET1	SNAP25
OGDH	IL4I1
STX1A	GAD1
STX1A	SNAP25
CYP3A5	GSTA1
CYP3A5	SULT1E1
WASL	NTN1
WASL	DCC
WASL	SH3GL3
SERPINE1	LEFTY2
SERPINE1	FGG
PSMA2	PSMA8
PSMA2	UBD
YKT6	SNAP25
C5	CXCL11
C5	ADRA2C
C5	CCL1
C5	S1PR5
C5	CXCL13
C5	CXCL10
C5	CXCL5
C5	CNR2
C5	DRD2
C5	CXCL9
C5	CCL20
RLN1	LGR6
RLN1	INSL3
BLNK	IGLL5
BLNK	CD79A
BLNK	BLK
MPO	LYZ
DHX33	AIM2
CRYBA1	BFSP2
NUFIP2	NR0B1
RPL19	NR0B1
CSF3	IL1A
CSF3	IFNG
CSF3	CXCL10
CSF3	CXCL5
CSF3	IL23R
WNT3	SFRP1
P2RX1	OLR1
P2RX1	SNAP25
P2RX1	CLEC5A
KRT37	KRT18
GOSR2	SNAP25
RPS6KB1	CD79A
GOSR1	SNAP25
CCL2	OLR1
